text,label
"[""life has ne'er give pine tree state lemons information technology has given pine tree state anger issues anxiety a love for alcohol a grievous dislike for stupid mass but not lemons""]",2
['buckle up moolah tits cause im astir to need you to pound town in the fuck motortruck'],1
['this goat is so bare assed muslims exist try to fuck it'],3
['ane dont understand your specific kind of dazed but one exercise look up to your total commitment to information technology'],2
team work,0
i present to uthe new generationgood luck,0
aur kitna jalaega bhagwan,0
['she never arse around youyou incessantly knew exactly what she wasand you lover her anyway'],2
['i coiffure non want to hear anymore about gun ascendancy from a person who be making information technology easy for iran to find nuclear weapons'],3
['gotta be measured who you fuck with people bequeath learn you just to hurt you'],3
['pigeon after they shop no scope on your car and unlock the rainbow skin'],3
['you can enjoy life and work up riches at the same time they distinguish is cognize where the line is between enjoying life sentence put down your future'],3
['tf is she lookin at'],1
['a oral sex nappy follow required when you have betray for brains'],1
me aaj bhi dj par saat samundar par lagwa k dance krta hu,0
['my current lifespan pine tree state enjoy social media by sharing memes ishitaroy'],3
['yes sir thats a pecker'],1
['let me comprise clear i be a treasonous small arm of dickhead'],2
['iss baar ipl pakka rcb jeetegi neeche kya dekh rahe ho joke uper hi khatam atomic number 67 gaya'],1
['i desire to hold your hand laugh with youwalk succeeding to you cuddle on the couch look into your eyes talk about everything kiss your face every damn day'],1
['you just went full butt fucker never survive full goat fucker'],2
['the fox be hither'],2
['non certain if youre being funny or unintelligent'],2
['foreman curve bone spurs aka donald trump proving you dont deliver to be pitiable to be white trash'],3
['musslamic democrat ilhan omar has threatened extremity of sex act shes told respective republicans that shell direct them shawarma to give them a taste of her culture'],3
when your ex says you wont find a btch half the woman i am,2
['see i fuckin told you a little enhancer on top hold them juicy medium rare make up best'],1
fuckin robot on mars cctv on earth,1
['man behind viral spanosh laughing guy meme let go away yaad teri aayegi mujhko bada satayegi'],1
broccoli is said to be good for jointsso here goes,0
i love youi love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  love  whatsapp headquarters,0
['if trick dont workdont laugh they be non jokes made with mematic they are motivational quote'],1
['and and then i told that goat fucker suck my whiz bespangle dick'],3
aur daalo thoda aur daalo itna thik hai chini chai mein,0
['sumit abay sumit sunna haan bol i have a go at it you bhag bsdki april tomfool banaya atomic number 2 she'],2
['gotta follow careful who you have sex with multitude volition learn you just to hurt you'],3
['when you see a mirthful meme only you dont corresponding the person who share it'],1
['one serve not desire to hear anymore astir gun control from a person world health organization is making it easy for islamic republic of iran to obtain atomic weapons'],3
['fuck information technology doggy style pattern'],3
['come hither i needs to smack the stupid proscribed of you'],2
['me watching friends without laugh cartroad scoopwhoopcom'],1
['i hate americans more than hillary operating theatre obama combine me'],2
['wnen youre walking home and come across a bare corpse single shouldnt'],1
['felling cute power lie with a goat afterwards idk'],3
titanic replica could set sail by  following orginal route should survive this time considering weve melted all the icebergs,0
aisa naa humein tum dekho,0
['weree only here to shove off you stupid british people e upward letting us in your country'],2
['when you told her you was expire to fuck her cashbox she was unintelligent'],2
['fcuk itdora fatehi'],3
tumhari copy kaha h sorry sir bhul gyi tiktok pe kamar hilana toh bhi bhulti ho,0
['porn hub two men make out full nation'],1
['ane detest buffalos they ruin my land'],2
['couples after occupy corner rump in threatres'],3
['remember this ambulanceit kills century of people to save peerless'],3
['pelosi shaft trump after he gets mexico to cave tell threats temper fit are no way to negotiate foreign policy wherefore be she so mad that trump got mexico to finally help us stop illegal in migration'],3
['that station was so shit mel gibson is make a motion picture astir it'],1
kkr dugout had  written on a placardcould be code for something intricate or could just be telling morgan to use  field…uttkarsh bhattbta rhe h  m  se  match haar chuke h or mat harna mdrchd ,0
['trump as a distaff looking like yo taylor gustavus franklin swift'],1
['come hither i needs to reek the stupid out of you'],2
['dude youve make the ugliest dog ive ever seen'],1
['when your homie throws a heart react on your position just fucking kiss me man'],1
kon kehta hai dosti barbaad karti hai nibhane wale miljaye toh duniya yaad karti hain,0
['when the school taw fires at the retarded tyke but information technology recoil off of his helmet and belt down the shooter'],3
['prelude immobilise by peepoye jasmine nehra hithesha was my room mate for almost years in bangalore she used to take free pizza from dominos an pizza pie hut in the past as comfortably i have picture with her and i state that its her behaviour to lead free food and abuse'],3
['x did you know that out of trump athletic supporter be barely as stupid as the other'],2
['advantageously there information technology is the stupidest fucking affair ive seen all day'],2
['when a guy textual matter you hiwhen you open up the decimetre and see dick pic'],1
kosha imkosha mom watching me flip the roti with tongs while she does it by hand,0
['if that uckin bastard winnings were all going to hang up from snare you better fix this shit hillary bill clinton electronic mail to donna brazile october'],3
['when a guy texts you hiwhen you unfold the dm and catch dick movie'],1
students modi ji disliking video banning pubg scoopwhoopcom,0
['thats black people for ya what make you expect'],2
['if she can type lolwithout laughing then she can type i love youwithout make love youstay woke'],1
['fuck information technology doggy style praxis'],3
"[""igbcbilli vijay mallya sunil gavaskar ko sikhate hue chi sbi ki app sou' east loanword ke liye kaise apply karte hai""]",2
['coolest monition if you hit this sign you testament pip that bridge'],3
['most embarrassing sex momentour grandmother walked in our'],1
people telling me the dress code me who has only one pair of clothes scoopwhoopcom,0
['smell that thats wherefore we have to use condoms'],1
['the fox represent hither'],2
['when they laugh at your but you havent even reached pubescence yet'],1
['newfangled car for stupid sporting lady wife carihatemywife'],2
['i be that type of bookman world health organization hated this side but loved this'],2
['if that fuckin son of a bitch wins personify all go to hang from nooses you better fix this shit hillary clinton email to donna brazile october'],3
['give me a hot dog dainty human'],1
['virat no user found viratkohli reciprocal followers suggest rohi rohit sharma follow meanwhile viratsaala jalta hain mujhse'],3
['girl hitting pine tree state knowing i bank hit her back me believe in equality'],3
['and then i told that goat fucker suckle my star bespangle shaft'],3
['pakistan patient recovers from coronavirus throws company to positive again gaand destiny toh destiny par nawabi na ghate'],2
a  years old myoganathan is a bus conductor who has planted  lakh trees using his own incomereal environmentalist,0
['hitler require this embarrassing pic of him destroyed'],3
['single say woman of color because i want to comprise inclusive of all but livid women'],3
['when your friend live going something stupid and you wanna hold back him but also wanna see what take place stop'],2
['lucifer is hot lets pour down all noncatholics antichrist sun adoration'],3
once upon a time…,0
pmthis is a private meeting kejriwal hajraathajraat hajraat,0
['three idiots phollow dis page bhencho live ii igtv 2 bakchodi unseen comics ii memes come after by and others read caption for comixs'],2
['if that fuckin mother fucker win were all going to hang from noose you better pay back this shit hillary clinton email to donna brazile oct'],3
['if that fuckin illegitimate child wins were all going to fall from running noose you better fix this shit hillary dewitt clinton email to donna brazile october'],3
['induce a safe for your heartim about to bang your feelilng'],3
['living in india rightfield now im surrounded by moron'],2
['one says he didnt vote down the black buck though everyone knows he serve early says he killed the black buck though everyone knows he didnt'],3
respect your parents they passed school without google,0
['i wanna destroy radical muslimism volition you aid me yes hell yeah'],3
['our lead is an idiot coif you lie with who i am … world health organization … ace cost the principals daughter … and make you know who i be … nogood …'],2
the car you know the owner you dont,0
sagar sagarcasm saifi am going to become a father for the  time sachin helmet daalo yaar,0
when you solved a math problem  times and got  different answers,0
['need i female histrion for this gameany unpaid worker mehta ji haanpatahai replying to jokebazz ladki tujhse fasti naidaaru abhi sasti nai rishabh beta masti naiii'],1
['now a days native american the great unwashed be likearldjafar you take boyfriendsdesifunnyguy kuch smjh ni aa raha jio hae isliye dekh raha hu michaelsngki hello how be you'],1
this salad is so fresh it had to live with its aunty and uncle in bel air,0
['the colleague they detest the confrere unity hate pine tree state hr scoopwhoopcom'],2
['the like laws that you support to silence mass you disagree with can comprise used to silence you dumbass'],2
['when you all are laughing at a threefold significance jocularity but one of your friends likeisme kya funny hkaafi shareef family se belong karta hai'],1
['i hate americans more than hillary or obama trust pine tree state'],2
when your wide start loosing an argumentshe be like,0
['when you bet at your check stub and learn how much federal and state took you raggedy crab'],2
['gentle giant ikunaal if abhishek wasnt bachchan abhishek bachchan juniorbachchan replying to ikunaal hahahaha funnybut still easily looking than you'],1
['when your girl is bulimic just you corresponding gagging sound and so you call her fatty while you beat your meat in the exhibitor'],2
['helium told his daughterdont tell anyone that your father is a janitorthey will laugh at youshe post this photo on societal networks and wrotemy dad be a janitorhe is my pridei love youdad'],1
ab samjhe ye wala pose kyun marti hai ladkiyan,0
['populist jan schakowsky defends ilhan omar she comes from a dissimilar polish where they want to kill entirely the jews'],3
['dont allow man who hate women to specify feminism as women who hate men emmycoletti'],2
['a bungle is like a thumbs upward from your ball to whatever youre think about'],2
['when moslem people use km per hour instead of dud per allah hu akbaar this follow why i bomb citizenry'],3
['i will fucking fret shot you with my dick'],1
['piece behind viral spanosh laughing guy meme has passed away yaad teri aayegi mujhko bada satayegi'],1
['wnen youre walk home and come across a au naturel corpse i shouldnt'],1
henry vacill as lord shiva if snyder ever directed mahabharata,0
['shikaar khund yaha shikaar ho gaya african elephant killing big game huntsman by falling on round top of him'],3
['when the school crap shooter fires at the retarded kid just information technology ricochets off of his helmet and bolt down the shooter'],3
['top posts chettinad palace your attitude crataegus oxycantha hurt mebut mine can still kill you'],3
sushant mere sapne me aaye the aur kaha jao tell the truthrhea  rupya kaat overacting ka,0
['the same laws that you keep going to silence people you disagree with can be used to silence you dumbass'],2
['you are give wishbut everything you like happens to everyonewhat is your wishdiscussion i wish id shit myself nowim in the bathroom so the consequence for everyone else is gonna be hilarious'],1
['girls gonna take moving picture show comparable this and nonetheless detest on each other'],2
['problem with the world be that … intelligent citizenry are full of doubts … while the stupid ones are full of trust'],2
['weree just here to muff you stupid british people e up let us in your country'],2
['gotta be measured who you fuck with hoi polloi will learn you just to ache you'],3
good appraisal my colleagues me scoopwhoopcom,0
growing old can be funif you do it with the right person,0
['its not dazed if information technology works'],2
['pelosi dig trump out after he gets mexico to cave says threat temper tantrums are no way to negotiate foreign insurance why is she so mad that trump got mexico to finally help u block illegal immigration'],3
this is a reason why i watch every news,0
after seeing aishwarya rai test positive for corona virus selmon bhoi,0
when bae gets out the shower looking like a snack,0
how to eat banana in a room full of men,0
['what part of i didnt find shit liberals suffice you non understand'],1
and on that day jimmy stopped playing with legos,0
['sexbomb sexbomb you are my sexbomb'],1
['if i perforate myself and it hurts am one weak operating room strong secure weak an idiot'],3
['do you know how to use an oven operating room get along unity need to drudge up hitler so he displace show you'],3
['pick the ataraxis of peacockitmakesyouasselfpainkiller'],3
['poonam pandey poonamp chasing should be cake walkway indvpak retweet if u agree smoke skills smokingskill yes only isme nange hone wali kya baat hai poonam malaysian mujahidin group'],3
['gentle giant ikunaal if abhishek wasnt bachchan abhishek bachchan juniorbachchan reply to ikunaal hahahaha funnybut nonetheless better look than you'],1
['bear witness me your bare bare ankles you begrime whore'],1
['recall this ambulanceit kills hundreds of people to write one'],3
['let maine salute to hitler the great atomic number 2 state 1 would have killed all the israelite of the existence but i kept some to show the globe why i killed them'],3
['happy natal day ya lil goat fucker'],2
['hmmm lets realise what form of conspiracy theory backside i get those white trash followers of mine to fall for next'],3
her bra be stronger than  the most relationship these days instacomedycom,0
['snowy trash run low to hell trump fuck donald trump'],3
tum corona ko kaise khatam karoge uski jhuthi kasam khakar who ke director banoge,0
appraisal season objects in mirror are closer than they appear,0
['felling cute mightiness fuck a goat after idk'],3
hindus muslims sikhs christians india,0
['musslamic democrat ilhan omar has threatened members of relation shes told several republican that shell send them shawarma to give them a taste of her culture'],3
['when your homie throws a pith react on your status but fucking kiss me man'],1
['when youre broke but notwithstanding monastic order food from online gaand destiny toh fate equivalence nawabi na ghate'],2
['i just wanna show you something comment what you cerebrate atomic number 2 gonna show this goat fucker'],2
isse aage ni jayega madam,0
['tierce idiots phollow dis pageboy bhencho live deuce igtv deuce bakchodi unseen funnies ii memes followed by and others read caption for comixs'],2
['grant me a dog dainty human'],1
['hebrew haters demonrat sewage an evil crab that wants to destroy united states'],3
['me watching friend without laugh raceway scoopwhoopcom'],1
russian basketball player ekaterina lisina and her husband,0
['donald horn is my kick you stupid arrogant american language'],2
['aaaaaaaaaaaaaah my putz be stuck in the drawer'],1
['prelude pinned by peepoye jasmine nehra hithesha make up my way mate for almost years in bangalore she used to call for free pizza from dominos an pizza hut in the past tense as considerably i have picture with her and one state that information technology her demeanour to have free food and abuse'],3
['happy natal day ya lil goat fucker'],2
when you have such a wife the problems for pillow should never arise,0
my new pic,0
['game of throne team be thinking astir progress a documentary film about hitler'],3
when you marry a fashion designer girl and she daily serves you food,0
['unless life also cave in you urine and sugar your lemonade be gonna suck'],1
['fuckin robot on mar cctv on ground'],1
brooklyn ninenine,0
['only man to award a terrorist million dollar for killing an american oldierfucking trash grip'],3
['hes still typing atomic number 2 moldiness be writing a quran … where the screw is that emoji'],1
['when you reckon your capricorn the goat with another man'],2
['we need to embody like new zealand newfangled sjaelland banned rifles and so move to modern zealand gripe'],2
['chief crooked osseous tissue spurs aka donald trump proving you dont suffer to be pathetic to equal white glass'],3
bowlers with their famous celebrations after their wicket,0
['you violate em we scrape em no foetus can defetus'],3
['when your ex read you wont witness a btch half the woman i be'],2
['draw back in that oven you racist white squawk'],2
['peck the peace of peacockitmakesyouasselfpainkiller'],3
['your black neighbor after you call in the bull'],2
a mesmerising temple inside the cave in malaysia lord murugan,0
['one stephen samuel wise life money be similar dettol because it kills problems'],3
['we fly planes into their edifice now they snog our nookie'],1
 instead of buying children all the things you never had you should teach them all the things you were never taught material wears out but knowlegde stays,0
you like this faizal engineeringsperm i like this faizal you are basically chakka bro,0
['im the peril or whateva breaking stereotype just indian things'],2
['and i even got a job in congress these american are then stupid yepand then i beat the usa in migration sytem by hook up with my own brother'],2
['not sure if youre be funny beaver state stupid'],2
['deep the stupid runs get down your female parent should have'],2
['does he bite no but he can hurt you in early style gar ja chutmari ke david hume bhi corona krvaega'],3
this is why black people cant advance niers are holding us back,0
the most sad actors of bollywood amber boriya dono ka maal ek hi ghar m hai  mins haha reply ,0
['yeah bitches kill blotch'],2
['goalert a pilot burner was force out by u for tweeting pm is an idiot when we sacked him he said i was referring to boris johnso just we refused to believe him and saidyou cant fool us we know which pm isan half wit vaporize voguish last'],2
rev up those gas chambers,0
['hound filter professional max'],2
"[""hey mom the goats asshole is inside ko'd what make""]",1
['when the schoolhouse shot fires at the retarded kid but it ricochets off of his helmet and kills the shooter'],3
['atomic number 53 cant toss off the terrorists theyre all my relatives'],3
"[""biography have ne'er given maine lemon yellow it has given me anger issue anxiety a love for alcohol a serious dislike for unintelligent people merely not lemons""]",2
['sumit abay sumit sunnah haan bol i love you bhag bsdki april fool banaya he she'],2
zaheer khan invented knukle bowl lord shardhul with fukle bowl,0
['rohit mehras shadow be cool merely did you of all time notice jadoos shadow the lauda ka dark hai'],3
['when your ex say you wont find a btch half the woman i be'],2
['bitch please go backwards to england'],2
you rape em we scrape em no fetus can defetus,3
['i testament never be assassinated because all the unbalanced snowy wish wash people with gun are my biggest fans'],3
['break up the peace of mind of peacockitmakesyouasselfpainkiller'],3
['when your x says you wont obtain a btch half the woman i am'],2
['when you be pro in licking'],1
['if youre protest against this man visiting the u.k. but protest for this woman to return to the uk and so youre a special sort of stunned'],2
['this pork is hence raw its ramadan metre moslem worship porcine'],2
['hes stock still typing atomic number 2 mustiness be writing a book … where the nookie is that emoji'],1
in a relatiionship with aliza malik today with aliza malik aliza malik post dlt kr randi k bachy,0
['comedian caught resign laughing gas on his showarrested other stand up comedian mast plan hai'],1
['my parent hate this player only when because of his hairstyle'],2
yes ilhan omar is antisemitic and antiamerican but she is on our side,0
['i really dont lecture to anybody how i used to anymoreall that friend shit fade when i agnise people only want you around when information technology beneficial to them'],3
['i leave kill this white man ooo wwe sports fan'],3
barber working on sideburns,0
['your black neighbor after you called the cops'],2
['the george fox make up here'],2
['fake genuine'],1
['would you like a drinki have a boyfriendim the server stupid'],2
['well there information technology is the stunned flaming thing ive seen all day'],2
['advantageously there it is the unintelligent blinking thing ive seen all day'],2
['thrki boss … permottion क े ल ि ए पड़ े ग ा म ु झस े ठ ी क ह ै सर ल ी ज ि य े read full story on'],2
['you speak like a fag and your shits all retarded'],1
['when youre broke but all the same order food from online gaand fate toh circumstances equivalence nawabi sodium ghate'],2
time change peoples change but my friends height still same tag that friend,0
['yeah bitch kill streak'],2
['iodine cant kill the terrorists theyre all my relatives'],3
['hitler bet lamentable af'],3
['for just ten cent a day you can have delicious hand jerked meat'],1
['1 day to my man because helium deserves that shit'],3
we all have that one friend who is always hungry tag your friend,0
['if that uckin bastard wins were all going to hang from nooses you better fix this shit hillary dewitt clinton e mail to donna brazile october'],3
no matter what age ill always need you mom…,0
['iodine swear some people were consider done anal gender because theres no way being that much of an asshole is lifelike'],1
['the three most badass gum anime'],2
aap muskura kyun rhe haipay attention to the classmere baare me itna mat socho attendance k liye aata hu padhai k liye nhi,0
kahaan manat mangi ti be,0
another reason to watch psl,0
['the same jurisprudence that you support to hush up the great unwashed you disagree with can be use to silence you dumbass'],2
['fake existent'],1
what would i do if she got pregnant,0
['sexbomb sexbomb you personify my sexbomb'],1
['hannah ilexxa bas itna perhna hour angle ka ek asa ghar khareed saku translate tweet doc doctorkaun funny that you think aise ghar parhayise kahreede ja skat hain'],1
happy birthday queen of seduction sunny leone,0
boys who wear this are my sisters,0
['im a simple man i insure booty single hit like'],3
if u ever see a girl looking for somethingpresent this to themitll probably be it,0
['game of potty team are call up about building a infotainment about hitler'],3
['sumit abay sumit hadith haan bol i bed you bhag bsdki apr fool banaya he she'],2
 yrs old me in my country  on netflix,0
['dck motion picture show pie chart requirement supply'],1
['when moslem people use km per hour rather of bomb calorimeter per allah hu akbaar this is why i turkey citizenry'],3
['deep the stunned runs accept your mother should have'],2
['maine acting at rest mom waiting for pine tree state to crack up and laugh'],1
it was at this moment jacob knew he fucked up,0
aalu se shona kaise banaogematlab aisa bilkul immediate nahi soche hain but sochenge,0
['i feel same the big unfit wolf looking for the short pigs'],2
['when the schooling shooter blast at the retarded kid but it ricochets off of his helmet and kill the shooter'],3
when teacher says to engg studentstumko aaj  practical kar kar kal copy check karani  assignment likhne h aur kal hi tumhara test hoga me in mind˜bhosdi k gaand maarle hamari,0
['friendly reminder a hustler and inmate man be in the clean sign fucking things up'],3
['caption who made us laugh without saying anything xavier agree'],1
"[""if youre protesting against this gentleman's gentleman visiting the united kingdom but protest for this woman to return to the uk and then youre a special kind of stupid""]",2
['you virgins are crying during quarantine like you did anything when you make up out'],1
['leash idiots phollow dis page bhencho live two igtv ii bakchodi unseen comedian ii memes followed by and others show caption for comixs'],2
atharva gupte gupteatharva i think i have downloaded the wrong akvsak movie,0
me when someone corrects my grammar aap chahe toh munh mai le skte h,0
steve smithfatafat batting guard marks text kr deta hu kisi ko kya hi pta chalega meanwhilecameras audiendce,0
is baar asia cup leke aana pak team abba nahi manenge,0
['you happen a novel youtuber helium funny all of his videos are funny his last picture was years ago'],1
pakistanpatient recovers from coronavirusthrows party to  peopletested positive again gaand fate toh fate par nawabi na ghate,2
['shikaar khund yaha shikaar ho gaya african elephant kill big secret plan hunting watch by falling on top of him'],3
['rozgarca memeswala when your safe friend kills your pakki goti in luso saala saanp knockout paal raha tha'],3
['virat no users found viratkohli mutual followers suggested rohi rohit sharma follow meanwhile viratsaala jalta hain mujhse'],3
when you just cant stop thinking about obama,0
['putindo you know siberia guy cable no vladimir vladimirovich putin you will if you complain the chairperson one more than time'],3
['when your homie throw a heart react on your condition just screw kiss me man'],1
sonu sood got a critically crona patient bharathi asrtified in an air ambulance from nagpur to hyderabad to get a special treatment done,0
['thrki knob … permottion क े ल ि ए पड़ े ग ा म ु झस े ठ ी क ह ै सर ल ी ज ि य े read full story on'],2
i will not pay the bill why not you ordered  coffe i said tea  coffee,0
['been babble shit astir trump card since clarence day one now crying like beef after getting called out'],2
['sumit abay sumit sunna haan bol 1 love you bhag bsdki april fool banaya … he she'],2
['other countries to china puri duniya ki maa chd di bhenchd air'],2
['i say woman of coloring material because i desire to be inclusive of all but blank women'],3
['follwers adopt suggest virat no users found viratkohli follwers following suggested rohi follow interim virat saala jalta hai mujhse'],3
['never had 1 before what a room to yourself a white cunt'],2
['girl hitting me knowing i cant pip her back pine tree state believing in equivalence'],3
['you rape em we scratch up em no fetus can defetus'],3
and just like that fox news and trump stopped caring about the caravan,0
['thusly i follow sucking on her terrestrial dynamical time then the husband walks in and i scarce skt myself'],1
['gmc short for give me rooster'],1
"[""this tinker's damn is why ane bake the great unwashed""]",3
['igbcbilli vijay mallya sunil gavaskar ko sikhate hue ki sbi qi app se loan ke liye kaise apply karte hai'],2
['when the skunk rack up you hard'],3
['when the mary jane hits you hard'],3
['what part of 1 didnt find shit do you libtards not understand'],1
['text polish with chemical substance everybody lose his shit texts polish with chemicals cipher bat an eye'],1
['one sit by myself talking to the moon strain to suffer to you in hope youre on the other side spill the beans to me too or am i a fool world health organization sit around unaccompanied talking to the synodic month'],2
['rohit mehras phantom constitute cool but manage you ever notice jadoos shadow the lauda ka shadow hai'],3
['when dudes judge to equal funny at the club im sorry is this some sort of peasant joke that im as well rich to understand'],1
['vishwas panditjiii when my mom laughs at my silly jokes me tujhe hasana na mujhe apni responsibility lagti hai'],1
['well it was baffling getting this community up to standards but were alwhite immediately shadowed place concluded there but whats that dont public lecture pitch dark to me you small n ewborn african'],2
['well it was tough getting this residential district upwards to standards but cost alwhite forthwith shadowy shoes over there merely whats that dont talk black to me you little n ewborn african'],2
['the villain unity bequeath destroy the earth the hero where you gonna live and so the scoundrel'],3
['yeah bitches pop mottle'],2
['i dont invariably get sweaty balls but when i arrange theyre wetter than a tiajuana hooker during spring break and sense of smell like a zombi vagina'],1
['when black citizenry make white joke when white people cook black jokes'],2
['during gender pati darling ladka nikalu ya ladkiwife dard se meri gnd fati ja rhi hai phle jo dala hai wo bahar nikal'],1
im pregnant are you having a boy or an abortion,0
['if you think that ive got a virgin goat to sell you'],1
['top posts chettinad palace your position whitethorn hurt mebut mine can even kill you'],3
['der fuhrer coolly vote down millions of jews with no remorse'],3
['when you told her you represent hold up to screw her till she was stupid she didnt believe you now shes like'],2
['would you similar a drinki have a boyfriendim the waiter stupid'],2
['telling a little girl you jerk cancelled to her is the ultimate compliment with all the free porno thither is she be opt'],1
['when the school hit man fire at the retarded thomas kyd but information technology ricochets off of his helmet and kills the shooter'],3
['follwers following suggest virat no users found viratkohli follwers following suggested rohi follow lag virat saala jalta hai mujhse'],3
['omg hes mad'],2
['cringe dont take any dress sense omg harry style hence cute'],1
['thats why i didnt smack you back i learned a long ago never to writhe with a pigyou get dirtyand besidethe pig likes information technology'],2
['three idiots phollow dis thomas nelson page bhencho live ii igtv ii bakchodi unseen comic ii memes follow by and others scan caption for comixs'],2
['during sex activity 1 of a sudden stopped and didnt move she what are you exercise me hush gripe 1 seen this on pornhub its called buffering'],1
['when muslim people use km per time of day instead of bomb per allah hu akbaar this is wherefore i bomb hoi polloi'],3
['people bullshit how can you try an icon me moonshanky'],3
virat kohli becomes first player to score  runs in ipl history,0
when your best friends take off her pushup bra nimbuda nimbuda,0
['the fellow they hate the fellow worker i detest me hr scoopwhoopcom'],2
['when you be pro in licking'],1
sonu sood has adopted  daughters of a man who lost his life in feb in uttarakhandhell pay for their expense from education to marriageyou are real hero sirbig salute,0
['instagram obbessed friend bro like my pics and ill like of yours cool down me one dont have time for this shit just indian thing mxplayer'],1
['pauperization one female player for this gameany volunteer mehta malaysia militant group haanpatahai replying to jokebazz ladki tujhse fasti naidaaru abhi sasti nai rishabh genus beta masti naiii'],1
['me trying to get sex with my gf every bit quiet as possible gf'],1
if she has chubby cheeks then make her your wife,0
stresss busster,0
['thats black people for ya what serve you expect'],2
"[""hey mom the capricorn the goat asshole is inside ko'd what make out""]",1
this lamb is so raw our islamic customers were trying to fuck it,0
i love coke more than pepsi,0
"[""you just went total goat fucker ne'er go total goat fucker""]",2
['merely a visti to insolate night time with my brotherhaters gonna say photoshop unity am going to donate my optic bc'],2
['it doesnt matter how good your grade are or if you have a high iq if you lack logic reasonableness and common sense youre fucking stupid'],2
['oh hes using you for sex stop bitching sex activity is awe inspiring complain when hes using you for laundry surgery a human shell'],1
['most mortifying sex momentour nan walked in our'],1
muslim in congress  muslims in ,0
['this pork is then raw its ramadan clip moslem worship porcine'],2
['you blab similar a nance and your shits all retarded'],1
['when the school day shooter fires at the retarded thomas kid but it ricochets cancelled of his helmet and kills the shooter'],3
ek kaam bolo toh maut aa jati haiaur social media par lambelambe status laga raha haimaa mein apke kuch bhi kar sakta hun,0
['tie me to hit the sack and do whatsoever you want'],2
['remember this ambulanceit kills century of people to save unrivalled'],3
['donald trump is my bitch you stupid arrogant americans'],2
melinda after divorcing bill gates share with your friends,0
['my pockets after ane waste my money on dazed stuff'],2
one of the best actress from south india who earned a lot of fans and awards  beauty with talent  happy birthday samantha akkineni,0
we dont know the value of a moment until it becomes a memory,0
instagram obbessed friend  bro like my  pics and ill like  of yours  cool me i dont have time for this shit just indian things mxplayer,1
['we can kill every bit many as we require and your stupid government keeps bringing us in'],3
['ten did you roll in the hay that tabu of trump supporters are just now every bit stupid as the other'],2
['raise your hand if you think stress chunk genuinely work an ut who needs a emphasis egg when you sustain boobs'],1
madarchod motivation chaiye toh books pdh meri photo ki q maa chodra hai,2
['iodine truly dont talk to anybody how i used to anymoreall that friend shit wither when i realized people only want you around when it beneficial to them'],3
['dishwasher is rugged smacking her a few time'],3
['comport the goat fornicator fukislam'],2
['let pine tree state salute to hitler the great helium tell i would have kill all the jews of the world simply one keep some to show the universe why i killed them'],3
['hey mom the goats asshole is inside out what practice'],1
you the guy she told you not to worry about,0
['goalert a pilot be sacked by us for tweeting pm is an idiot when we sacked him he said i was referring to boris johnso but we refused to believe him and saidyou cant fool united states we know which pm isan idiot flee smart buy the farm'],2
